12241359 - clip_momenta_features_b7-lr1e-4-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  18 val', ' Macro-F1: 0.445'] 
12250779 - clip_momenta_features_b7-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.436'] 
12250811 - clip_momenta_features_b7-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch   4 val', ' Macro-F1: 0.278'] 
12241362 - clip_momenta_features_b7-lr1e-4-mt300--sberFalse-caption+text_val.pkl : 	 ['Epoch   8 val', ' Macro-F1: 0.361'] 
12250782 - clip_momenta_features_b7-lr1e-4-mt300-macro-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.434'] 
12250814 - clip_momenta_features_b7-lr1e-4-mt300-macro-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.328'] 
12241344 - clip_momenta_features_b7-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.359'] 
12241356 - clip_momenta_features_b7-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch   7 val', ' Macro-F1: 0.299'] 
12241347 - clip_momenta_features_b7-lr1e-5-mt128--sberFalse-separated_val.pkl : 	 ['Epoch  18 val', ' Macro-F1: 0.363'] 
12241353 - clip_momenta_features_b7-lr1e-5-mt128--sberTrue-caption+text_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.344'] 
12241350 - clip_momenta_features_b7-lr1e-5-mt128--sberTrue-separated_val.pkl : 	 ['Epoch  15 train', ' accuracy: 0.4647\n'] 
12250776 - clip_momenta_features_b7-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.281'] 
12250808 - clip_momenta_features_b7-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  11 val', ' Macro-F1: 0.217'] 
12250764 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.234'] 
12250796 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250767 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberFalse-separated_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.263'] 
12250799 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberFalse-separated_cyclic5shorter_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250773 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.234'] 
12250805 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.229'] 
12250770 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250802 - clip_momenta_features_b7-lr1e-5-mt128-macro-sberTrue-separated_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.217'] 
12250785 - clip_momenta_features_b7-lr2e-4-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  27 val', ' Macro-F1: 0.421'] 
12250817 - clip_momenta_features_b7-lr2e-4-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.439'] 
12250788 - clip_momenta_features_b7-lr2e-4-mt300-macro-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.427'] 
12250820 - clip_momenta_features_b7-lr2e-4-mt300-macro-sberTrue-separated_cyclic5shorter_val.pkl : 	 ['Epoch  28 val', ' Macro-F1: 0.354'] 
12241358 - clip_momenta_features_frcnn-lr1e-4-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.391'] 
12250778 - clip_momenta_features_frcnn-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch   3 train', ' accuracy: 0.7837\n'] 
12250810 - clip_momenta_features_frcnn-lr1e-4-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch   5 train', ' accuracy: 0.3127\n'] 
12241361 - clip_momenta_features_frcnn-lr1e-4-mt300--sberFalse-caption+text_val.pkl : 	 ['Epoch   9 val', ' Macro-F1: 0.367'] 
12250781 - clip_momenta_features_frcnn-lr1e-4-mt300-macro-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.449'] 
12250813 - clip_momenta_features_frcnn-lr1e-4-mt300-macro-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch   3 val', ' Macro-F1: 0.306'] 
12241343 - clip_momenta_features_frcnn-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch  21 val', ' Macro-F1: 0.367'] 
12241355 - clip_momenta_features_frcnn-lr1e-5-mt128--sberFalse-caption+text_val.pkl : 	 ['Epoch   7 val', ' Macro-F1: 0.356'] 
12241346 - clip_momenta_features_frcnn-lr1e-5-mt128--sberFalse-separated_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.241'] 
12241352 - clip_momenta_features_frcnn-lr1e-5-mt128--sberTrue-caption+text_val.pkl : 	 ['Epoch  30 val', ' Macro-F1: 0.343'] 
12241349 - clip_momenta_features_frcnn-lr1e-5-mt128--sberTrue-separated_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.309'] 
12250775 - clip_momenta_features_frcnn-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.300'] 
12250807 - clip_momenta_features_frcnn-lr1e-5-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.217'] 
12250763 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.284'] 
12250795 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.217'] 
12250766 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberFalse-separated_cyclic5_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.288'] 
12250798 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberFalse-separated_cyclic5shorter_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.217'] 
12250772 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5_val.pkl : 	 ['Epoch  11 val', ' Macro-F1: 0.217'] 
12250804 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberTrue-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  13 val', ' Macro-F1: 0.260'] 
12250769 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.217'] 
12250801 - clip_momenta_features_frcnn-lr1e-5-mt128-macro-sberTrue-separated_cyclic5shorter_val.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.222'] 
12250784 - clip_momenta_features_frcnn-lr2e-4-mt128-affine-sberFalse-caption+text_cyclic5_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.447'] 
12250816 - clip_momenta_features_frcnn-lr2e-4-mt128-affine-sberFalse-caption+text_cyclic5shorter_val.pkl : 	 ['Epoch  25 val', ' Macro-F1: 0.436'] 
12250787 - clip_momenta_features_frcnn-lr2e-4-mt300-macro-sberTrue-separated_cyclic5_val.pkl : 	 ['Epoch   7 val', ' Macro-F1: 0.265'] 
12250819 - clip_momenta_features_frcnn-lr2e-4-mt300-macro-sberTrue-separated_cyclic5shorter_val.pkl : 	 ['Epoch  28 val', ' Macro-F1: 0.335'] 
12235573 - not saved : 	 ['Epoch  26 val', ' Macro-F1: 0.462'] 
12236743 - not saved : 	 ['Epoch  15 val', ' Macro-F1: 0.361'] 
12239573 - ofa_snli_val.pkl : 	 ['Epoch   4 val', ' Macro-F1: 0.245'] 
12239965 - ofa_snli_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.091'] 
12236582 - ofa_vqa_base_val.pkl : 	 ['Epoch  12 val', ' Macro-F1: 0.303'] 
12237268 - ofa_vqa_base_val_ocr+q.pkl : 	 ['Epoch   4 val', ' Macro-F1: 0.144'] 
12237723 - ofa_vqa_base_val_ocr+q.pkl : 	 ['Epoch  11 val', ' Macro-F1: 0.288'] 
12237742 - ofa_vqa_base_val_unfreeze.pkl : 	 ['Epoch  14 val', ' Macro-F1: 0.384'] 
12237743 - ofa_vqa_large_val.pkl : 	 ['Epoch   9 val', ' Macro-F1: 0.329'] 
12240112 - ofa_vqa_ofa_base.pt-all-1e-4-1_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.217'] 
12240126 - ofa_vqa_ofa_base.pt-all-1e-4-1_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.214'] 
12240115 - ofa_vqa_ofa_base.pt-all-1e-5-2_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.128'] 
12240129 - ofa_vqa_ofa_base.pt-all-1e-5-2_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.229'] 
12240114 - ofa_vqa_ofa_base.pt-all-1e-6-1_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.069'] 
12240128 - ofa_vqa_ofa_base.pt-all-1e-6-1_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.077'] 
12240130 - ofa_vqa_ofa_base.pt-all-5e-5-2_val.pkl : 	 ['Epoch   1 val', ' Macro-F1: 0.167'] 
12240113 - ofa_vqa_ofa_base.pt-classifier-1e-4-1_val.pkl : 	 ['Epoch   2 val', ' Macro-F1: 0.103'] 
12240127 - ofa_vqa_ofa_base.pt-classifier-1e-4-1_val.pkl : 	 ['Epoch  11 val', ' Macro-F1: 0.287'] 
